ATUM Inventory Management for WooCommerce|atum_inventory_files|atum-stock-manager-for-woocommerce
AutomateWoo|automatewoo_customers|automatewoo
Banhammer|banhammer|banhammer
Bit Form|bitforms_workflows_v1|bit-form
Bit Form|bitforms_gclid_response|bit-form
Bit Form|bitforms_app_log|bit-form
Bit Form|bitforms_success_messages_v1|bit-form
Bit Form|bitforms_form_v1|bit-form
Bit Form|bitforms_payments|bitformpro
Bit Form|bitforms_pdf_template|bitformpro
Borlabs Cookie|borlabs_cookie_statistics|borlabs-cookie
Borlabs Cookie|borlabs_cookie_script_blocker|borlabs-cookie
Borlabs Cookie|borlabs_cookie_groups|borlabs-cookie
Borlabs Cookie|borlabs_cookie_cookies|borlabs-cookie
Borlabs Cookie|borlabs_cookie_content_blocker|borlabs-cookie
Borlabs Cookie|borlabs_cookie_consent_log|borlabs-cookie
Bricksforge|bricksforge_submissions|bricksforge
Burst|burst_summary|burst
Burst|burst_parameters|burst
Burst|burst_campaigns|burst
Burst|burst_archived_months|burst
Burst Statistics - Privacy-Friendly Analytics for WordPress|burst_goal_statistics|burst-statistics
CartFlows|cartflows_visits|cartflows
CartFlows|cartflows_visits_meta|cartflows
Comment Plus|comment_plus|comment-plus
Contact Form CFDB7|wfb_form_entries|contact-form-cfdb7
Contact Form CFDB7|wfb_form_entry_meta|contact-form-cfdb7
Contact Form CFDB7|wfb_form_entry_values|contact-form-cfdb7
Contact Form CFDB7|wfb_forms|contact-form-cfdb7
Contact Form CFDB7|wfb_queue_failures|contact-form-cfdb7
Contact Form CFDB7|wfb_queue_jobs|contact-form-cfdb7
Cookie Information - Consent Solution|wpgdprc_delete_requests|cookie-information-consent-solution
Cookie Information - Consent Solution|wpgdprc_access_requests|cookie-information-consent-solution
Cookie Information - Consent Solution|wpgdprc_consents|cookie-information-consent-solution
Cookie Information - Consent Solution|wpgdprc_log|cookie-information-consent-solution
CookieYes | GDPR Cookie Consent|cli_cookie_scan_cookies
Copyright Proof|dprv_licenses|digiproveblog
Copyright Proof|dprv_log|digiproveblog
Copyright Proof|dprv_post_content_files|digiproveblog
CourseCure|wlpoints_options|coursecure
CourseCure|wlq2_options|coursecure
CourseCure|wlc_options|coursecure
CourseCure|wlbadges_options|coursecure
CourseCure|wlpoints_user_points|coursecure
CourseCure|wlq2_answers|coursecure
CourseCure|wlpoints_point_rules|coursecure
CourseCure|wlbadges_user_badges|coursecure
CourseCure|wlq2_questions|coursecure
CourseCure|wlbadges_badges|coursecure
CourseCure|wlq2_quiz_results|coursecure
CourseCure|wlpoints_rule_actions|coursecure
CourseCure|wlbadges_user_logs|coursecure
CourseCure|wlq2_quizzes|coursecure
CourseCure|wlbadges_badge_rules|coursecure
CourseCure|wlq2_results_answers|coursecure
